name	code	sink_below	lst_date	lot_size	mkt_cap	off_price	lst_price	over_sub_rate	one_lot	one_lot_suc_rate	last	first_per	acc_per
慧居科技	02481.HK	1	2023/07/10	1,000	10.92	3.6	3.600	0.5	1	1.0	2.790	0.0	-0.225
艾迪康控股	09860.HK	1	2023/06/30	500	139.51	12.32	12.320	0.1	1	1.0	6.530	0.1201	-0.47
來凱醫藥－Ｂ	02105.HK	0	2023/06/29	500	103.18	12.41	12.410	4.8	5	0.223	15.720	0.2087	0.2667
藥師幫	09885.HK	1	2023/06/28	200	408.79	20	20.000	4.6	6	0.3	6.330	0.055	-0.6835
非凡領越	00933.HK	0	2023/06/27	8,000	-1	-1	-1	-1	-1	-1	0.600	-1	-1
科笛－Ｂ	02487.HK	1	2023/06/12	200	99.11	21.85	21.850	0.4	1	1.0	8.390	0.0046	-0.616
易點雲	02416.HK	1	2023/05/25	500	90.62	10.19	10.190	-1	1	1.0	1.870	-0.0304	-0.8165
宏信建發	09930.HK	1	2023/05/25	1,000	157.62	4.52	4.520	-1	1	1.0	1.520	-0.2898	-0.6637
金泰豐國際控股	09689.HK	0	2023/05/17	4,000	-1	-1	-1	-1	-1	-1	0.410	-1	-1
普樂師集團控股	02486.HK	1	2023/05/11	200	13.20	10.6	10.600	1.2	1	1.0	7.830	-0.2462	-0.2613
怡俊集團控股	02442.HK	1	2023/05/09	2,000	10.61	1.28	1.280	16.3	9	0.111	1.070	-0.2344	-0.1641
綠竹生物－Ｂ	02480.HK	1	2023/05/08	200	85.03	32.8	32.800	2.3	6	0.5	20.950	-0.3293	-0.3613
梅斯健康	02415.HK	1	2023/04/27	250	81.73	9.1	9.100	8.9	8	0.2	0.780	0.011	-0.9143
珍酒李渡	06979.HK	1	2023/04/27	200	431.16	10.82	10.820	0.9	1	1.0	6.580	-0.1793	-0.3919
陸控	06623.HK	0	2023/04/14	100	-1	-1	-1	-1	-1	-1	9.600	-1	-1
北森控股	09669.HK	1	2023/04/13	200	213.16	29.7	29.700	15.6	8	0.25	4.180	-0.1212	-0.8593
力盟科技	02405.HK	0	2023/03/31	4,000	58.16	0.7	0.700	12.5	20	0.25	2.370	0.2	2.3857
中寶新材	02439.HK	1	2023/03/31	2,000	29.30	1.05	1.050	5.3	1	1.0	0.250	-0.3524	-0.7619
中天湖南集團	02433.HK	1	2023/03/30	2,000	15.36	1.18	1.180	9.6	9	0.4	0.143	1.2627	-0.8788
洲際船務	02409.HK	0	2023/03/29	1,000	21.50	3.27	3.270	0.1	1	1.0	4.090	-0.211	0.2508
達勢股份	01405.HK	0	2023/03/28	100	106.58	46	46.000	-1	1	1.0	73.200	-0.0011	0.5913
嘉創地產	02421.HK	0	2023/03/23	2,000	-1	-1	-1	-1	-1	-1	0.610	-1	-1
九方智投控股	09636.HK	0	2023/03/10	500	137.96	17	17.000	1.6	1	1.0	27.600	0.0082	0.6235
維天運通	02482.HK	1	2023/03/09	1,000	41.12	2.9	2.900	22.1	8	0.3	0.850	-0.0207	-0.7069
淮北綠金股份	02450.HK	1	2023/01/20	1,500	4.22	1.91	1.910	11.3	6	0.3	1.620	-0.445	-0.1518
樂華娛樂	02306.HK	1	2023/01/19	3,000	71.93	4.08	4.080	27.7	40	0.5	0.660	0.4779	-0.8382
潤華服務	02455.HK	1	2023/01/17	2,000	4.41	1.7	1.700	7.7	15	0.2	0.550	-0.2588	-0.6765
昇能集團	02459.HK	1	2023/01/17	2,000	231.00	1.6	1.600	8.9	15	0.077	0.260	0.1125	-0.8375
美麗田園醫療健康	02373.HK	1	2023/01/16	500	77.86	19.32	19.320	21.1	2	0.55	17.200	0.5347	-0.1097
百果園集團	02411.HK	1	2023/01/16	500	113.10	5.6	5.600	11.2	16	0.2	1.290	0.0714	-0.7696
望塵科技控股	02458.HK	1	2023/01/16	400	10.29	6.5	6.500	2.4	3	0.5	4.000	-0.1154	-0.3846
正味集團	02147.HK	1	2023/01/13	4,000	23.20	0.68	0.680	17.3	1	1.0	0.044	-0.1765	-0.9353
億華通	02402.HK	1	2023/01/12	50	42.21	60	60.000	-1	1	1.0	21.850	0.0	-0.6358
粉筆	02469.HK	1	2023/01/09	500	315.44	9.9	9.900	32.9	16	0.076	2.710	0.1212	-0.7263
澳亞集團	02425.HK	1	2022/12/30	1,000	44.69	6.4	6.400	1.1	2	0.7	1.040	0.0	-0.8375
金山雲	03896.HK	0	2022/12/30	2,000	-1	-1	-1	-1	-1	-1	3.130	-1	-1
康灃生物－Ｂ	06922.HK	1	2022/12/30	200	46.63	18.9	18.900	1.0	1	1.0	6.980	-0.0656	-0.6307
博安生物	06955.HK	1	2022/12/30	200	203.71	19.8	19.800	1.1	3	0.438	8.600	0.0	-0.5657
特海國際	09658.HK	0	2022/12/30	1,000	-1	-1	-1	-1	-1	-1	13.220	-1	-1
GUANZE MEDICAL 	02427.HK	1	2022/12/29	5,000	51.30	0.53	0.530	13.2	12	0.15	0.430	2.3019	-0.1887
星空華文	06698.HK	1	2022/12/29	400	526.07	26.5	26.500	4.1	4	0.401	4.360	0.7057	-0.8355
思派健康	00314.HK	1	2022/12/23	200	340.31	18.6	18.600	7.3	15	0.15	5.980	0.3441	-0.6785
業聚醫療	06929.HK	1	2022/12/23	500	139.56	8.8	8.800	1.0	3	0.461	4.120	0.0398	-0.5318
TECHSTARACQ-Z	07855.HK	1	2022/12/23	110,000	12.51	10	10.000	-1	-1	-1	9.600	-1.0	-0.04
ＢＯＳＳ直聘－Ｗ	02076.HK	0	2022/12/22	100	-1	-1	-1	-1	-1	-1	53.900	-1	-1
上美股份	02145.HK	0	2022/12/22	100	226.64	25.2	25.200	-1	1	1.0	31.250	0.0	0.2401
思路迪醫藥股份	01244.HK	1	2022/12/15	500	336.71	24.98	24.980	5.0	7	0.25	2.120	0.259	-0.9151
步陽國際	02457.HK	1	2022/12/15	5,000	5.90	0.5	0.500	50.2	14	0.2	0.320	-0.4	-0.36
衛龍美味	09985.HK	1	2022/12/15	200	280.00	10.56	10.560	14.3	2	0.7	7.250	-0.0511	-0.3135
美皓集團	01947.HK	1	2022/12/14	5,000	4.92	0.84	0.840	40.3	30	0.061	0.365	-0.1429	-0.5655
高視醫療	02407.HK	1	2022/12/12	100	83.01	51.4	51.400	0.5	1	1.0	10.680	0.0	-0.7922
濠暻科技	02440.HK	1	2022/12/12	1,000	5.47	2.73	2.730	95.7	20	0.1	0.900	-0.2674	-0.6703
花房集團	03611.HK	1	2022/12/12	1,000	45.60	2.8	2.800	32.4	20	0.2	2.300	0.125	-0.1786
陽光保險	06963.HK	1	2022/12/09	500	670.54	5.83	5.830	-1	1	1.0	2.860	0.0	-0.5094
力勤資源	02245.HK	1	2022/12/01	200	256.79	15.8	15.800	0.5	2	0.8	7.830	0.0	-0.5044
奇富科技－Ｓ	03660.HK	0	2022/11/29	50	446.45	50.03	50.030	1.5	2	0.7	130.000	0.0344	1.5984
凌雄科技	02436.HK	1	2022/11/24	300	52.64	7.6	7.600	5.2	7	0.3	3.660	0.0263	-0.5184
交運燃氣	01407.HK	1	2022/11/16	2,000	7.04	1.42	1.420	6.2	7	0.3	0.380	0.0	-0.7324
子不語	02420.HK	1	2022/11/11	500	47.00	7.86	7.860	0.9	2	0.502	4.500	0.0547	-0.4275
多想雲	06696.HK	1	2022/11/09	2,000	23.74	1.96	1.960	1.8	2	0.508	0.169	0.0204	-0.9138
心泰醫療	02291.HK	1	2022/11/08	1,000	149.10	29.15	29.150	1.1	1	1.0	17.460	0.0	-0.401
巨子生物	02367.HK	0	2022/11/04	200	577.10	24.3	24.300	1.1	1	1.0	48.900	0.0988	1.0124
飛天雲動	06610.HK	1	2022/10/18	1,000	94.30	2.21	2.210	0.1	1	1.0	0.405	0.0	-0.8167
潤歌互動	02422.HK	0	2022/10/17	4,000	26.80	0.64	0.640	13.1	4	0.5	0.830	1.1094	0.2969
GC CONSTRUCTION 	01489.HK	1	2022/10/10	5,000	8.20	0.5	0.500	6.6	10	0.501	0.480	0.1	-0.04
健世科技－Ｂ	09877.HK	1	2022/10/10	200	395.06	27.8	27.800	0.5	2	0.58	2.900	0.0162	-0.8957
中創新航	03931.HK	1	2022/10/06	100	681.45	38	38.000	-1	1	1.0	12.340	0.0	-0.6753
艾美疫苗	06660.HK	1	2022/10/06	200	1,211.06	16.16	16.160	2.2	5	0.6	7.230	0.0309	-0.5526
萬物雲	02602.HK	1	2022/09/29	100	659.58	49.35	49.350	-1	1	1.0	22.200	-0.0679	-0.5502
零跑汽車	09863.HK	1	2022/09/29	100	554.21	48	48.000	-1	1	1.0	30.050	-0.3354	-0.374
數科集團	02350.HK	1	2022/09/26	5,000	5.81	0.85	0.850	150.3	120	0.301	0.480	-0.2706	-0.4353
騰訊音樂－ＳＷ	01698.HK	0	2022/09/21	100	-1	-1	-1	-1	-1	-1	43.300	-1	-1
INTERRA ACQ-Z 	07801.HK	1	2022/09/16	110,000	12.51	10	10.000	-1	-1	-1	9.460	0.0	-0.054
叮噹健康	09886.HK	1	2022/09/14	500	270.98	12	12.000	6.2	10	0.112	0.590	0.0	-0.9508
洪九果品	06689.HK	1	2022/09/05	100	195.36	40	40.000	-1	1	1.0	1.740	0.0	-0.9565
百奧賽圖－Ｂ	02315.HK	1	2022/09/01	500	115.03	25.22	25.220	4.9	14	0.5	6.000	0.031	-0.7621
中國中免	01880.HK	1	2022/08/25	100	5,792.81	158	158.000	0.1	1	1.0	52.750	0.0	-0.6661
蘇新服務	02152.HK	1	2022/08/24	500	8.75	8.6	8.600	-1	1	1.0	6.670	-0.0012	-0.2244
雙財莊	02321.HK	1	2022/08/19	5,000	24.03	0.56	0.560	18.2	1	1.0	0.375	0.4107	-0.3304
匯德收購－Ｚ	07841.HK	0	2022/08/15	115,000	-1	10	10.000	-1	-1	-1	-1	0.0	-1
檸萌影視	09857.HK	1	2022/08/10	100	123.82	27.75	27.750	-1	1	1.0	3.140	-0.027	-0.8869
