
華視集團控股	01111.HK	跌穿上市價	2023/11/10	4,000	1.62-18.42	1.04	1.040	11.6	20手	10.6%	0.345	+55.770%	-66.827%
佛朗斯股份	02499.HK	跌穿上市價	2023/11/10	200	31.32-54.36	14.28	14.280	6.8	9手	20.0%	8.900	+3.360%	-37.675%
喜相逢集團	02473.HK		2023/11/09	2,500	6.81-96.42	1.1	1.100	13.7	18手	6.8%	15.980	+49.090%	+1,352.727%
友寶在線	02429.HK	跌穿上市價	2023/11/03	500	31.27-229.27	10.35	10.350	10.3	12手	15.0%	4.200	+40.870%	-59.420%
鍋圈	02517.HK	跌穿上市價	2023/11/02	400	54.12-339.02	5.98	5.980	3.3	6手	19.0%	2.110	0.000%	-64.716%
極兔速遞－Ｗ	01519.HK	跌穿上市價	2023/10/27	200	455.59-1,457.53	12	12.000	0.4	1手	100.0%	5.910	0.000%	-50.750%
綠源集團控股	02451.HK	跌穿上市價	2023/10/12	500	22.10-34.35	7.37	7.370	6.7	4手	80.0%	6.150	+0.950%	-16.554%
十月稻田	09676.HK	跌穿上市價	2023/10/12	300	81.61-1,068.15	15.36	15.360	0.3	1手	100.0%	7.500	+22.660%	-51.172%
邁越科技	02501.HK	跌穿上市價	2023/10/11	2,000	3.00-8.50	1.18	1.180	1.5	1手	100.0%	0.830	+38.140%	-29.661%
天圖投資	01973.HK	跌穿上市價	2023/10/06	400	13.03-47.13	6.5	6.500	認購不足	1手	100.0%	2.750	-24.920%	-57.692%
永聯豐控股	09882.HK		2023/09/29	5,000	N/A	N/A	N/A	N/A	N/A	N/A	0.850	+4.070%	-68.519%
第四範式	06682.HK	跌穿上市價	2023/09/28	100	87.58-535.74	55.6	55.600	10.4	20手	50.0%	43.800	+5.220%	-21.223%
熙康雲醫院	09686.HK	跌穿上市價	2023/09/28	500	4.13-31.15	4.76	4.760	認購不足	1手	100.0%	0.680	-42.860%	-85.714%
中旭未來	09890.HK	跌穿上市價	2023/09/28	200	26.51-387.20	14	14.000	103.0	7手	50.0%	7.080	0.000%	-49.429%
途虎－Ｗ	09690.HK	跌穿上市價	2023/09/26	100	73.78-308.72	28	28.000	1.7	1手	100.0%	23.050	+5.360%	-17.679%
樂艙物流	02490.HK		2023/09/25	1,000	9.68-101.48	5.13	5.130	3.8	7手	30.0%	21.400	-0.580%	+317.154%
友芝友生物－Ｂ	02496.HK	跌穿上市價	2023/09/25	200	9.69-38.38	16	16.000	12.8	30手	18.0%	4.700	0.000%	-70.625%
宜明昂科－Ｂ	01541.HK	跌穿上市價	2023/09/05	200	12.01-120.29	18.6	18.600	9.0	10手	11.6%	8.420	+4.950%	-54.731%
眾安智慧生活	02271.HK	跌穿上市價	2023/07/18	2,000	2.59-7.40	1.18	1.180	0.8	3手	50.0%	1.130	+2.540%	-4.237%
新傳企劃	01284.HK	跌穿上市價	2023/07/17	5,000	1.35-7.32	0.92	0.920	43.0	80手	30.0%	0.345	+1.090%	-62.500%
巨星傳奇	06683.HK		2023/07/13	500	16.36-105.53	4.25	4.250	12.0	7手	30.0%	5.230	+23.760%	+23.059%
KEEP	03650.HK	跌穿上市價	2023/07/12	100	18.14-222.88	28.92	28.920	2.1	3手	40.0%	5.960	+0.280%	-79.391%
科倫博泰生物－Ｂ	06990.HK		2023/07/11	100	132.83-490.56	60.6	60.600	0.3	2手	75.0%	172.100	+3.140%	+183.993%
慧居科技	02481.HK	跌穿上市價	2023/07/10	1,000	6.12-10.92	3.6	3.600	0.5	1手	100.0%	2.790	0.000%	-22.500%
艾迪康控股	09860.HK	跌穿上市價	2023/06/30	500	46.41-139.51	12.32	12.320	0.1	1手	100.0%	6.530	+12.010%	-46.997%
來凱醫藥－Ｂ	02105.HK		2023/06/29	500	12.29-103.18	12.41	12.410	4.8	5手	22.3%	15.720	+20.870%	+26.672%
藥師幫	09885.HK	跌穿上市價	2023/06/28	200	37.46-408.79	20	20.000	4.6	6手	30.0%	6.330	+5.500%	-68.350%
非凡領越	00933.HK		2023/06/27	8,000	N/A	N/A	N/A	N/A	N/A	N/A	0.600	N/A	N/A
科笛－Ｂ	02487.HK	跌穿上市價	2023/06/12	200	16.93-99.11	21.85	21.850	0.4	1手	100.0%	8.390	+0.460%	-61.602%
易點雲	02416.HK	跌穿上市價	2023/05/25	500	5.86-90.62	10.19	10.190	認購不足	1手	100.0%	1.870	-3.040%	-81.649%
宏信建發	09930.HK	跌穿上市價	2023/05/25	1,000	29.09-157.62	4.52	4.520	認購不足	1手	100.0%	1.520	-28.980%	-66.372%
金泰豐國際控股	09689.HK		2023/05/17	4,000	N/A	N/A	N/A	N/A	N/A	N/A	0.410	N/A	N/A
普樂師集團控股	02486.HK	跌穿上市價	2023/05/11	200	2.50-13.20	10.6	10.600	1.2	1手	100.0%	7.830	-24.620%	-26.132%
怡俊集團控股	02442.HK	跌穿上市價	2023/05/09	2,000	3.06-10.61	1.28	1.280	16.3	9手	11.1%	1.070	-23.440%	-16.406%
