name,code,sink_below,lst_date,lot_size,mkt_cap,off_price,lst_price,over_sub_rate,one_lot,one_lot_suc_rate,last,first_per,acc_per
-99,-99,1,-99,200,46.63,18.9,18.900,1.0,1,1.0,6.980,-0.0656,-0.6307
-99,-99,1,-99,200,203.71,19.8,19.800,1.1,3,0.438,8.600,0.0,-0.5657
-99,-99,0,-99,1000,-1,-1,-1,-1,-1,-1,13.220,-1,-1
-99,-99,1,-99,5000,51.30,0.53,0.530,13.2,12,0.15,0.430,2.3019,-0.1887
-99,-99,1,-99,400,526.07,26.5,26.500,4.1,4,0.401,4.360,0.7057,-0.8355
-99,-99,1,-99,200,340.31,18.6,18.600,7.3,15,0.15,5.980,0.3441,-0.6785
-99,-99,1,-99,500,139.56,8.8,8.800,1.0,3,0.461,4.120,0.0398,-0.5318
-99,-99,1,-99,110000,12.51,10,10.000,-1,-1,-1,9.600,-1.0,-0.04
-99,-99,0,-99,100,-1,-1,-1,-1,-1,-1,53.900,-1,-1
-99,-99,0,-99,100,226.64,25.2,25.200,-1,1,1.0,31.250,0.0,0.2401
-99,-99,1,-99,500,336.71,24.98,24.980,5.0,7,0.25,2.120,0.259,-0.9151
-99,-99,1,-99,5000,5.90,0.5,0.500,50.2,14,0.2,0.320,-0.4,-0.36
-99,-99,1,-99,200,280.00,10.56,10.560,14.3,2,0.7,7.250,-0.0511,-0.3135
-99,-99,1,-99,5000,4.92,0.84,0.840,40.3,30,0.061,0.365,-0.1429,-0.5655
-99,-99,1,-99,100,83.01,51.4,51.400,0.5,1,1.0,10.680,0.0,-0.7922
-99,-99,1,-99,1000,5.47,2.73,2.730,95.7,20,0.1,0.900,-0.2674,-0.6703
-99,-99,1,-99,1000,45.60,2.8,2.800,32.4,20,0.2,2.300,0.125,-0.1786
-99,-99,1,-99,500,670.54,5.83,5.830,-1,1,1.0,2.860,0.0,-0.5094
-99,-99,1,-99,200,256.79,15.8,15.800,0.5,2,0.8,7.830,0.0,-0.5044
-99,-99,0,-99,50,446.45,50.03,50.030,1.5,2,0.7,130.000,0.0344,1.5984
-99,-99,1,-99,300,52.64,7.6,7.600,5.2,7,0.3,3.660,0.0263,-0.5184
-99,-99,1,-99,2000,7.04,1.42,1.420,6.2,7,0.3,0.380,0.0,-0.7324
-99,-99,1,-99,500,47.00,7.86,7.860,0.9,2,0.502,4.500,0.0547,-0.4275
-99,-99,1,-99,2000,23.74,1.96,1.960,1.8,2,0.508,0.169,0.0204,-0.9138
-99,-99,1,-99,1000,149.10,29.15,29.150,1.1,1,1.0,17.460,0.0,-0.401
-99,-99,0,-99,200,577.10,24.3,24.300,1.1,1,1.0,48.900,0.0988,1.0124
-99,-99,1,-99,1000,94.30,2.21,2.210,0.1,1,1.0,0.405,0.0,-0.8167
-99,-99,0,-99,4000,26.80,0.64,0.640,13.1,4,0.5,0.830,1.1094,0.2969
-99,-99,1,-99,5000,8.20,0.5,0.500,6.6,10,0.501,0.480,0.1,-0.04
-99,-99,1,-99,200,395.06,27.8,27.800,0.5,2,0.58,2.900,0.0162,-0.8957
